,Ticker,volume
6368,NVOS,1248565158.7999997
7829,PGR,1245684836.0
2795,PBF,1245103086.0
9792,RWM,1244552255.0
6965,ALB,1243174348.0
2283,TRIP,1242411830.0
1598,CCO,1241460610.0
3448,KULR,1240368165.0
7940,UUUU,1239302811.0
3446,GOSS,1238041703.0
4106,URG,1237998538.0
1196,AU,1237879164.0
9131,STX,1237176922.0
7453,IR,1234368811.0
9149,ICE,1233243726.0
4928,OKTA,1230279118.0
3441,OLPX,1227874859.0
3633,SPTS,1226733015.0
3826,IAUX,1225635148.0
3366,CMA,1225282878.0
9089,APPS,1223929358.0
10205,AMGN,1223885554.0
7429,LNC,1220713358.0
8563,NUGT,1220196370.0
6422,BSV,1218308565.0
4642,MODG,1217008846.0
6041,TSLT,1215880804.0
7873,HRTX,1214269196.0
5475,APTV,1213597745.0
8900,HCP,1211701942.0
8964,SKIN,1210681424.0
10495,SEDG,1210302529.0
1518,FSLR,1209243833.0
5425,GLDM,1206989189.0
7063,HRL,1206982414.0
8699,NKLA,1206428737.5329995
5145,EAF,1206182196.0
5244,UDR,1204804260.0
10581,STT,1204796112.0
9385,BWA,1204246250.0
7984,ACN,1200736493.0
4691,SIRI,1199613298.3999999
9095,AMH,1197784047.0
5990,EBS,1197457449.0
10547,VCIG,1196909352.0
9010,ARQT,1194660689.0
10809,ANET,1193584842.0
7968,MRSN,1193441406.0
3308,CWK,1193313298.0
10771,IVW,1188360150.0
4839,GTLB,1187625632.0
8280,HIVE,1187322501.0
4782,FATE,1186370732.0
2503,ITB,1185653469.0
4056,WTI,1184662790.0
2412,EXPE,1184424665.0
8072,LXRX,1181385718.0
7004,CEG,1178314369.0
1019,INDI,1177296478.0
10507,GEO,1176052176.0
7475,TPST,1175667723.0
4628,PNC,1175050802.0
6973,AKBA,1174975019.0
21,URA,1172054559.0
2141,BXMT,1169938559.0
5306,AFL,1163796844.0
5637,AMRN,1163782081.0
4210,CCCS,1163165991.0
10172,FRSH,1162924101.0
6830,VSCO,1162431081.0
4003,INVZ,1161793291.0
7002,UL,1160540456.0
8453,EXEL,1157215613.0
912,PCT,1155188534.0
1404,CF,1153656557.0
4828,FUTU,1153150399.0
1349,NXT,1152980065.0
10554,SSRM,1152452580.0
896,ZS,1151552057.0
6588,DECK,1151242533.0
8151,CSGP,1149008164.0
4451,NMR,1148287256.0
5075,DHC,1146243224.0
4279,ALLO,1145716975.0
455,LPSN,1142331067.0
6872,ROST,1141689623.0
167,BRX,1139705494.0
6625,CNSP,1138332062.2219
2752,SLDP,1138061927.0
2897,LGMK,1135195368.05
10820,MBB,1132366208.0
2000,ETH,1130210766.0
10846,VTR,1129724395.0
4028,GS,1129451748.0
8475,DRIP,1129242666.0
1718,COHR,1127855280.0
4350,TV,1127168413.0
4651,WYNN,1123765247.0
5653,YPF,1122637484.0
1644,SFIX,1120116112.0
7123,VTV,1118117910.0
7939,NVST,1117978698.0
1859,SAND,1117313850.0
3733,FNB,1117012114.0
5926,FREY,1116549776.0
1841,CAH,1114603818.0
3001,HDB,1114301822.0
2110,RPRX,1114185173.0
237,FGEN,1111823387.0
672,LEVI,1109402801.0
1031,MRVI,1109085861.0
3827,EWW,1107853278.0
9850,DXC,1105712342.0
1756,PHM,1105678721.0
10394,ES,1103862219.0
9739,FFIE,1102087798.0354
